nb_nodes;latency;overhead
14;4;13
15;4;11
6;3;5
17;3;13
3;2;2
9;3;8
5;3;4
15;4;11
16;4;18
13;4;13
14;4;10
3;3;3
4;3;3
13;4;12
7;3;6
14;4;10
9;4;8
6;4;7
17;4;22
3;3;2
5;2;5
2;4;1
5;3;5
4;4;4
13;4;14
14;5;26
15;4;11
11;4;8
12;4;11
12;4;11
16;4;17
16;4;18
6;3;7
8;4;8
18;4;18
6;4;7
18;4;17
13;4;10
10;4;8
4;4;5
18;4;19
8;4;8
16;4;18
1;1;1
9;4;13
16;4;17
1;1;1
9;4;10
15;4;15
16;4;14
15;4;13
4;4;2
2;3;1
16;4;15
9;3;6
15;4;14
7;3;6
17;4;14
15;3;15
14;4;11
16;4;16
7;3;6
8;4;7
10;5;15
16;4;12
12;4;9
12;4;12
3;2;3
13;4;10
16;4;14
8;4;8
10;4;10
9;4;7
8;4;7
7;3;5
10;4;8
3;2;4
5;3;6
7;4;9
3;3;3
17;4;15
14;4;11
13;4;9
19;4;14
3;2;2
9;4;12
2;6;3
9;4;6
11;4;10
9;4;10
8;4;7
10;4;13
8;4;8
8;5;11
6;5;7
3;2;4
6;7;12
13;4;15
4;4;5
4;4;6
11;3;9
2;2;3
10;4;13
10;4;7
17;4;22
4;4;7
14;4;14
18;4;17
3;2;2
15;4;12
19;4;14
7;3;6
1;1;1
17;3;12
5;3;5
4;3;6
2;6;3
14;4;12
17;4;15
15;4;12
5;3;7
7;3;7
10;3;8
7;4;10
14;4;15
19;4;19
6;4;5
4;4;6
10;4;8
1;1;1
5;3;7
1;1;1
5;3;5
4;3;3
6;3;5
1;1;1
12;4;11
5;3;8
3;2;3
13;3;12
10;4;9
10;4;7
1;1;1
13;4;9
2;5;4
5;3;5
1;1;1
15;4;18
3;2;3
17;4;12
1;1;1
17;4;14
7;3;7
15;4;12
16;4;12
16;4;14
17;4;17
6;3;4
7;3;7
1;1;1
2;3;1
7;3;9
3;2;2
10;4;8
4;3;4
13;4;9
2;3;2
15;3;12
11;4;8
2;5;2
15;4;11
9;4;7
14;4;13
14;4;16
6;3;4
4;4;6
7;3;8
1;1;1
7;4;8
10;3;8
13;4;10
3;2;3
16;4;12
1;1;1
10;4;11
4;3;4
2;4;2
11;4;9
1;1;1
17;4;13
10;4;7
2;4;6
8;4;12
16;4;12
5;3;9
18;4;18
17;4;13
3;2;4
14;4;24
2;2;2
9;4;14
2;3;3
11;4;12
9;4;9
18;4;21
10;4;8
12;4;12
15;4;11
16;4;17
12;4;13
1;1;1
1;1;1
14;4;12
17;4;17
1;1;1
7;4;7
16;4;13
16;4;14
3;3;3
18;4;19
7;3;6
12;4;10
13;4;15
14;4;11
5;3;4
7;3;8
10;3;7
8;3;6
8;4;9
4;4;10
1;1;1
8;4;9
1;1;1
12;4;10
2;10;1
4;3;4
5;3;5
17;4;13
16;4;13
2;2;1
14;4;11
4;3;4
15;4;14
16;4;16
3;3;5
1;1;1
9;4;8
11;4;9
9;4;9
17;4;17
13;4;12
18;4;17
17;4;18
3;2;5
16;4;15
18;4;18
18;4;17
12;4;14
4;4;4
1;1;1
8;4;6
3;2;2
6;4;6
5;3;5
8;3;10
9;4;10
15;4;15
15;4;16
3;2;3
18;4;14
